ic_number,plate_number,age,months_as_customer,vehicle_age_years,vehicle_make,policy_expired_flag,deductible_amount,market_value,damage_severity_score,repair_amount,at_fault_flag,time_to_report_days,claim_reported_to_police_flag,license_type_missing_flag,num_third_parties,num_witnesses,approval_flag,coverage_amount
470119-43-2401,CJF7824,55,7,10,Perodua Myvi,0,300.0,50000.0,0.59,10435.92,0,5,0,0,0,0,1,10135.92
861126-24-0804,WGA4211,57,72,15,Mazda 3,0,500.0,130000.0,0.65,30914.07,0,2,0,0,0,0,1,30414.07
510806-66-3510,DIR2848,33,8,7,Perodua Myvi,0,300.0,50000.0,0.64,14265.18,1,4,1,0,2,0,1,13965.18
471112-27-1765,AGL9493,48,1,7,Perodua Myvi,0,300.0,50000.0,0.41,7169.51,0,3,0,0,1,2,1,6869.51
021203-43-7571,RNP4370,35,1,17,Perodua Myvi,0,500.0,50000.0,0.75,12039.21,0,6,0,0,0,0,1,11539.21
871203-90-1800,ELK6765,66,24,2,Honda City,0,1000.0,80000.0,0.71,21358.96,1,6,0,0,0,1,1,20358.96
520328-24-8653,MVO7761,24,7,6,Proton X70,0,300.0,110000.0,0.76,31091.86,0,4,1,0,1,1,1,30791.86
780430-99-7677,JGJ7113,18,0,1,Perodua Myvi,0,300.0,50000.0,0.41,8048.34,0,3,0,0,1,0,1,7748.34
550916-25-7396,XTP3300,60,64,4,Toyota Vios,0,800.0,75000.0,0.73,17281.21,0,6,1,0,2,0,1,16481.21
750329-15-9213,QIY5600,47,25,8,Honda City,0,200.0,80000.0,0.49,12375.38,0,6,1,0,0,2,1,12175.38
610510-36-7769,DJU1004,33,10,11,Toyota Vios,0,800.0,75000.0,0.46,11251.85,1,4,1,0,0,0,1,10451.85
800411-94-4644,YFP7723,38,3,7,Proton X70,0,300.0,110000.0,0.61,25571.22,1,5,1,0,1,0,1,25271.22
781019-45-6589,EDI7014,18,0,5,Proton X70,0,200.0,110000.0,0.51,18286.09,1,6,1,0,1,2,1,18086.09
441008-50-2893,UBE5571,53,49,1,Perodua Myvi,0,200.0,50000.0,0.67,16539.38,0,7,1,0,0,1,1,16339.380000000001
661019-50-6931,HDF3571,36,21,4,Nissan Almera,0,800.0,70000.0,0.53,15438.48,0,3,0,0,0,0,1,14638.48
740210-68-2108,QBA7999,37,15,6,Perodua Myvi,0,500.0,50000.0,0.55,13401.52,1,5,1,0,1,1,1,12901.52
500302-14-3654,RTB4466,49,9,10,Perodua Myvi,0,1000.0,50000.0,0.61,13092.47,0,9,0,0,0,1,1,12092.47
650830-03-3936,QLG8911,23,53,9,Perodua Myvi,0,800.0,50000.0,0.67,10884.01,0,6,1,0,0,0,1,10084.01
881202-46-9273,TGR4832,46,11,7,Proton X70,0,500.0,110000.0,0.47,17026.22,0,10,0,0,0,3,1,16526.22
791206-69-8563,CRG1229,24,5,6,Nissan Almera,0,200.0,70000.0,0.57,16990.61,0,3,1,0,0,2,1,16790.61
001005-77-7676,TXS3510,36,34,2,Perodua Myvi,0,300.0,50000.0,0.63,12222.89,0,5,0,0,1,1,1,11922.89
761128-43-9356,UVL0171,47,6,11,Honda City,0,500.0,80000.0,0.53,15831.47,1,6,1,0,0,3,1,15331.47
460804-49-4754,GYP2195,41,4,8,Perodua Myvi,0,300.0,50000.0,0.63,13029.03,0,7,1,0,0,1,1,12729.03
010207-97-8938,UAA2509,41,7,2,Perodua Myvi,0,800.0,50000.0,0.8,17057.92,0,5,1,0,1,2,1,16257.919999999998
960917-21-2509,FHB1112,20,1,1,Perodua Myvi,0,800.0,50000.0,0.48,7449.65,1,2,0,0,0,0,0,0.0
021209-51-3562,XYY8446,46,50,3,Perodua Myvi,0,200.0,50000.0,0.52,10312.25,0,5,0,0,0,2,1,10112.25
950524-44-3652,VPV4246,20,8,5,Perodua Myvi,0,500.0,50000.0,0.55,12794.91,0,5,0,0,0,2,1,12294.91
